"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,50,0,0,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2,75.7,75.7,24.3,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","75,7 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zum höheren Frontex-Beitrag.","C'est oui à 75,7 pour cent au renforcement de la participation de la Suisse à Frontex à Affoltern am Albis.","Con il 75,7 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto la maggiore partecipazione a Frontex."
3,50,0,0,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
4,71.8,71.8,28.2,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat den höheren Frontex-Beitrag mit 71,8 Prozent angenommen.","A Hausen am Albis, les habitants disent oui à 71,8 pour cent au renforcement de la participation de la Suisse à Frontex.","Nel comune di Hausen am Albis la maggiore partecipazione a Frontex è stata approvata con il 71,8 percento dei voti."
5,76.2,76.2,23.8,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zum höheren Frontex-Beitrag in Hedingen: Mit 76,2 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen.","Les habitants de Hedingen approuvent le renforcement de la participation de la Suisse à Frontex avec 76,2 pour cent de oui.","Sì al una maggiore partecipazione a Frontex nel comune di Hedingen: i cittadini hanno approvato il testo con il 76,2 percento dei voti."
6,69.1,69.1,30.9,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","69,1 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zum höheren Frontex-Beitrag.","C'est oui à 69,1 pour cent au renforcement de la participation de la Suisse à Frontex à Kappel am Albis.","Con il 69,1 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto la maggiore partecipazione a Frontex."
7,75,75,25,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zum höheren Frontex-Beitrag in Knonau: Mit 75 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen.","Les habitants de Knonau approuvent le renforcement de la participation de la Suisse à Frontex avec 75 pour cent de oui.","Sì al una maggiore partecipazione a Frontex nel comune di Knonau: i cittadini hanno approvato il testo con il 75 percento dei voti."
8,69.9,69.9,30.1,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung dem höheren Frontext-Beitrag zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 69,9 Prozent angenommen.","A Maschwanden, les habitants sont favorables au renforcement de la participation de la Suisse à Frontex avec 69,9 pour cent de oui.","I cittadini di Maschwanden si sono espressi a favore della la maggiore partecipazione a Frontex. Il testo è stato approvato con il 69,9 percento dei voti."
9,50,0,0,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
10,50,0,0,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
