"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,49.9,49.9,50.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis ist gegen die Änderung des Transplantationsgesetzes: Sie hat den Bundesbeschluss mit 50,1 Prozent Nein verworfen.","La modification de la loi sur la transplantation d'organes est refusée à 50,1 pour cent à Aeugst am Albis.","Nel comune di Aeugst am Albis la legge sui trapianti è stata bocciata con il 50,1 percento dei voti."
2,53.3,53.3,46.7,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","53,3 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zur Änderung des Transplantationsgesetzes.","Les habitants d'Affoltern am Albis acceptent avec 53,3 pour cent de oui la modification de la loi sur la transplantation d'organes.","Con il 53,3 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto la legge sui trapianti."
3,56.5,56.5,43.5,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","56,5 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Änderung des Transplantationsgesetzes.","Les habitants de Bonstetten acceptent avec 56,5 pour cent de oui la modification de la loi sur la transplantation d'organes.","Con il 56,5 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto la legge sui trapianti."
4,47,47,53,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","53 Prozent Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben Nein gesagt zur Änderung des Transplantationsgesetzes.","A Hausen am Albis, les citoyens rejettent à 53 pour cent la loi sur la transplantation d'organes.","I cittadini di Hausen am Albis si sono espressi contro la legge sui trapianti. Il testo è stato respinto con il 53 percento dei voti."
5,51.2,51.2,48.8,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 669 Ja zu 637 Nein hat sich Hedingen für die Änderung des Transplantationsgesetzes ausgesprochen. Die entspricht 51,2 Prozent.","Hedingen dit oui à 51,2 pour cent à la modification de la loi sur la transplantation d'organes.","Sì alla legge sui trapianti nel comune di Hedingen: i cittadini hanno approvato il testo con il 51,2 percento dei voti."
6,43.1,43.1,56.9,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Die Änderung des Transplantationsgesetzes ist in Kappel am Albis mit 56,9 Prozent abgelehnt worden.","La nouvelle loi sur la transplantation d'organes n'a pas convaincu à Kappel am Albis. Les citoyens de la commune ont refusé la modification à 56,9 pour cent.","Da Kappel am Albis è arrivato un ""no"" alle urne per la legge sui trapianti. I cittadini hanno bocciato il testo con il 56,9 percento dei voti."
7,46.5,46.5,53.5,"Knonau ZH","Knonau (ZH)","Knonau ZH","53,5 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben die Änderung des Transplantationsgesetzes abgelehnt.","Les habitants de Knonau s'opposent à la modification de la loi sur la transplantation d'organes par 53,5 pour cent des voix.","No alla legge sui trapianti nel comune di Knonau: i cittadini hanno bocciato il testo con il 53,5 percento dei voti."
8,51.2,51.2,48.8,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Die Änderung des Transplantationsgesetzes ist in Maschwanden mit 51,2 Prozent der Stimmen angenommen worden.","La loi sur la transplantation d'organes est approuvée à Maschwanden par 51,2 pour cent des votants.","I cittadini di Maschwanden si sono espressi a favore della legge sui trapianti. Il testo è stato approvato con il 51,2 percento dei voti."
9,52.6,52.6,47.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","52,6 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Änderung des Transplantationsgesetzes ausgesprochen.","A Mettmenstetten, les habitants disent oui à 52,6 pour cent à la modification de la loi sur la transplantation d'organes.","Nel comune di Mettmenstetten la legge sui trapianti è stata approvata con il 52,6 percento dei voti."
10,52,52,48,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","52 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Änderung des Transplantationsgesetzes ausgesprochen.","A Obfelden, les habitants disent oui à 52 pour cent à la modification de la loi sur la transplantation d'organes.","Nel comune di Obfelden la legge sui trapianti è stata approvata con il 52 percento dei voti."
