"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Vinzel","Vinzel","Vinzel","VD",95.918367347,"Vinzel","Vinzel","Vinzel","VD","VD","VD",95.918367347,95.918367347,95.918367347
"2","Villars-Epeney","Villars-Epeney","Villars-Epeney","VD",93.103448276,"Villars-Epeney","Villars-Epeney","Villars-Epeney","VD","VD","VD",93.103448276,93.103448276,93.103448276
"3","Pailly","Pailly","Pailly","VD",90.909090909,"Pailly","Pailly","Pailly","VD","VD","VD",90.909090909,90.909090909,90.909090909
"4","Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD",90,"Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD","VD","VD",90,90,90
"5","Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD",89.795918367,"Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD","VD","VD",89.795918367,89.795918367,89.795918367
"6","Duillier","Duillier","Duillier","VD",89.180327869,"Duillier","Duillier","Duillier","VD","VD","VD",89.180327869,89.180327869,89.180327869
"7","Bougy-Villars","Bougy-Villars","Bougy-Villars","VD",88.695652174,"Bougy-Villars","Bougy-Villars","Bougy-Villars","VD","VD","VD",88.695652174,88.695652174,88.695652174
"8","Nusshof","Nusshof","Nusshof","BL",88.571428571,"Nusshof","Nusshof","Nusshof","BL","BL","BL",88.571428571,88.571428571,88.571428571
"9","Ursins","Ursins","Ursins","VD",88.524590164,"Ursins","Ursins","Ursins","VD","VD","VD",88.524590164,88.524590164,88.524590164
"10","Kammersrohr","Kammersrohr","Kammersrohr","SO",88.235294118,"Kammersrohr","Kammersrohr","Kammersrohr","SO","SO","SO",88.235294118,88.235294118,88.235294118
"11","Vufflens-le-Château","Vufflens-le-Château","Vufflens-le-Château","VD",88.153310105,"Vufflens-le-Château","Vufflens-le-Château","Vufflens-le-Château","VD","VD","VD",88.153310105,88.153310105,88.153310105
"12","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",88.108108108,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",88.108108108,88.108108108,88.108108108
"13","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",88.073394495,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",88.073394495,88.073394495,88.073394495
"14","Chigny","Chigny","Chigny","VD",87.5,"Chigny","Chigny","Chigny","VD","VD","VD",87.5,87.5,87.5
"15","Hauteville","Hauteville","Hauteville","FR",87.401574803,"Hauteville","Hauteville","Hauteville","FR","FR","FR",87.401574803,87.401574803,87.401574803
"16","Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD",87.392550143,"Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD","VD","VD",87.392550143,87.392550143,87.392550143
"17","Commugny","Commugny","Commugny","VD",87.311178248,"Commugny","Commugny","Commugny","VD","VD","VD",87.311178248,87.311178248,87.311178248
"18","Montcherand","Montcherand","Montcherand","VD",87.272727273,"Montcherand","Montcherand","Montcherand","VD","VD","VD",87.272727273,87.272727273,87.272727273
"19","Borex","Borex","Borex","VD",87.248322148,"Borex","Borex","Borex","VD","VD","VD",87.248322148,87.248322148,87.248322148
"20","Féchy","Féchy","Féchy","VD",87.029288703,"Féchy","Féchy","Féchy","VD","VD","VD",87.029288703,87.029288703,87.029288703
"21","Essertines-sur-Rolle","Essertines-sur-Rolle","Essertines-sur-Rolle","VD",86.885245902,"Essertines-sur-Rolle","Essertines-sur-Rolle","Essertines-sur-Rolle","VD","VD","VD",86.885245902,86.885245902,86.885245902
"22","Tannay","Tannay","Tannay","VD",86.746987952,"Tannay","Tannay","Tannay","VD","VD","VD",86.746987952,86.746987952,86.746987952
"23","Senarclens","Senarclens","Senarclens","VD",86.607142857,"Senarclens","Senarclens","Senarclens","VD","VD","VD",86.607142857,86.607142857,86.607142857
"24","Bursins","Bursins","Bursins","VD",86.602870813,"Bursins","Bursins","Bursins","VD","VD","VD",86.602870813,86.602870813,86.602870813
"25","Balm bei Günsberg","Balm bei Günsberg","Balm bei Günsberg","SO",86.597938144,"Balm bei Günsberg","Balm bei Günsberg","Balm bei Günsberg","SO","SO","SO",86.597938144,86.597938144,86.597938144
"26","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","SO",86.206896552,"Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","Feldbrunnen-St. Niklaus","SO","SO","SO",86.206896552,86.206896552,86.206896552
"27","Rovray","Rovray","Rovray","VD",86,"Rovray","Rovray","Rovray","VD","VD","VD",86,86,86
"28","Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD",85.9375,"Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD","VD","VD",85.9375,85.9375,85.9375
"29","Uitikon","Uitikon","Uitikon","ZH",85.888501742,"Uitikon","Uitikon","Uitikon","ZH","ZH","ZH",85.888501742,85.888501742,85.888501742
"30","Villars-sous-Yens","Villars-sous-Yens","Villars-sous-Yens","VD",85.714285714,"Villars-sous-Yens","Villars-sous-Yens","Villars-sous-Yens","VD","VD","VD",85.714285714,85.714285714,85.714285714
"31","Rougemont","Rougemont","Rougemont","VD",85.6,"Rougemont","Rougemont","Rougemont","VD","VD","VD",85.6,85.6,85.6
"32","Assens","Assens","Assens","VD",85.579196217,"Assens","Assens","Assens","VD","VD","VD",85.579196217,85.579196217,85.579196217
"33","Démoret","Démoret","Démoret","VD",85.454545455,"Démoret","Démoret","Démoret","VD","VD","VD",85.454545455,85.454545455,85.454545455
"34","Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD",85.353535354,"Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD","VD","VD",85.353535354,85.353535354,85.353535354
"35","Gottlieben","Gottlieben","Gottlieben","TG",85.333333333,"Gottlieben","Gottlieben","Gottlieben","TG","TG","TG",85.333333333,85.333333333,85.333333333
"36","Dully","Dully","Dully","VD",85.256410256,"Dully","Dully","Dully","VD","VD","VD",85.256410256,85.256410256,85.256410256
"37","Coppet","Coppet","Coppet","VD",85.185185185,"Coppet","Coppet","Coppet","VD","VD","VD",85.185185185,85.185185185,85.185185185
"38","Buchillon","Buchillon","Buchillon","VD",85.051546392,"Buchillon","Buchillon","Buchillon","VD","VD","VD",85.051546392,85.051546392,85.051546392
"39","Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD",85,"Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD","VD","VD",85,85,85
"40","Sullens","Sullens","Sullens","VD",84.920634921,"Sullens","Sullens","Sullens","VD","VD","VD",84.920634921,84.920634921,84.920634921
"41","Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD",84.722222222,"Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD","VD","VD",84.722222222,84.722222222,84.722222222
"42","Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD",84.615384615,"Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD","VD","VD",84.615384615,84.615384615,84.615384615
"43","Vucherens","Vucherens","Vucherens","VD",84.563758389,"Vucherens","Vucherens","Vucherens","VD","VD","VD",84.563758389,84.563758389,84.563758389
"44","Vulliens","Vulliens","Vulliens","VD",84.472049689,"Vulliens","Vulliens","Vulliens","VD","VD","VD",84.472049689,84.472049689,84.472049689
"45","Lax","Lax","Lax","VS",84.466019417,"Lax","Lax","Lax","VS","VS","VS",84.466019417,84.466019417,84.466019417
"46","Lavigny","Lavigny","Lavigny","VD",84.4,"Lavigny","Lavigny","Lavigny","VD","VD","VD",84.4,84.4,84.4
"47","Penthaz","Penthaz","Penthaz","VD",84.357541899,"Penthaz","Penthaz","Penthaz","VD","VD","VD",84.357541899,84.357541899,84.357541899
"48","Aesch (ZH)","Aesch ZH","Aesch ZH","ZH",84.007352941,"Aesch (ZH)","Aesch ZH","Aesch ZH","ZH","ZH","ZH",84.007352941,84.007352941,84.007352941
"49","Bottmingen","Bottmingen","Bottmingen","BL",83.984181908,"Bottmingen","Bottmingen","Bottmingen","BL","BL","BL",83.984181908,83.984181908,83.984181908
"50","Mies","Mies","Mies","VD",83.878504673,"Mies","Mies","Mies","VD","VD","VD",83.878504673,83.878504673,83.878504673
