"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Ferrera","Ferrera","Ferrera","GR",15.384615385,"Ferrera","Ferrera","Ferrera","GR","GR","GR",84.615384615,84.615384615,84.615384615
"2","Dozwil","Dozwil","Dozwil","TG",24.137931034,"Dozwil","Dozwil","Dozwil","TG","TG","TG",75.862068966,75.862068966,75.862068966
"3","Unteriberg","Unteriberg","Unteriberg","SZ",25.471698113,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",74.528301887,74.528301887,74.528301887
"4","Furna","Furna","Furna","GR",27.5,"Furna","Furna","Furna","GR","GR","GR",72.5,72.5,72.5
"5","Illgau","Illgau","Illgau","SZ",30,"Illgau","Illgau","Illgau","SZ","SZ","SZ",70,70,70
"6","Vorderthal","Vorderthal","Vorderthal","SZ",30.158730159,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",69.841269841,69.841269841,69.841269841
"7","Alpthal","Alpthal","Alpthal","SZ",31.924882629,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",68.075117371,68.075117371,68.075117371
"8","Steinerberg","Steinerberg","Steinerberg","SZ",33.085501859,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",66.914498141,66.914498141,66.914498141
"9","Burg im Leimental","Burg im Leimental","Burg im Leimental","BL",33.333333333,"Burg im Leimental","Burg im Leimental","Burg im Leimental","BL","BL","BL",66.666666667,66.666666667,66.666666667
"10","Thalheim (AG)","Thalheim AG","Thalheim AG","AG",34.074074074,"Thalheim (AG)","Thalheim AG","Thalheim AG","AG","AG","AG",65.925925926,65.925925926,65.925925926
"11","Dürrenäsch","Dürrenäsch","Dürrenäsch","AG",34.366197183,"Dürrenäsch","Dürrenäsch","Dürrenäsch","AG","AG","AG",65.633802817,65.633802817,65.633802817
"12","Muotathal","Muotathal","Muotathal","SZ",34.767932489,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",65.232067511,65.232067511,65.232067511
"13","Mönthal","Mönthal","Mönthal","AG",34.782608696,"Mönthal","Mönthal","Mönthal","AG","AG","AG",65.217391304,65.217391304,65.217391304
"14","Hagenbuch","Hagenbuch","Hagenbuch","ZH",34.821428571,"Hagenbuch","Hagenbuch","Hagenbuch","ZH","ZH","ZH",65.178571429,65.178571429,65.178571429
"15","Morschach","Morschach","Morschach","SZ",34.98349835,"Morschach","Morschach","Morschach","SZ","SZ","SZ",65.01650165,65.01650165,65.01650165
"16","Leutwil","Leutwil","Leutwil","AG",35.555555556,"Leutwil","Leutwil","Leutwil","AG","AG","AG",64.444444444,64.444444444,64.444444444
"17","Bauma","Bauma","Bauma","ZH",35.667107001,"Bauma","Bauma","Bauma","ZH","ZH","ZH",64.332892999,64.332892999,64.332892999
"18","Schmiedrued","Schmiedrued","Schmiedrued","AG",35.684647303,"Schmiedrued","Schmiedrued","Schmiedrued","AG","AG","AG",64.315352697,64.315352697,64.315352697
"19","Gontenschwil","Gontenschwil","Gontenschwil","AG",36.086956522,"Gontenschwil","Gontenschwil","Gontenschwil","AG","AG","AG",63.913043478,63.913043478,63.913043478
"20","Rothenthurm","Rothenthurm","Rothenthurm","SZ",36.308623298,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",63.691376702,63.691376702,63.691376702
"21","Adlikon","Adlikon","Adlikon","ZH",36.398467433,"Adlikon","Adlikon","Adlikon","ZH","ZH","ZH",63.601532567,63.601532567,63.601532567
