"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Riemenstalden","Riemenstalden","Riemenstalden","SZ",38.095238095,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",61.904761905,61.904761905,61.904761905
"2","Illgau","Illgau","Illgau","SZ",38.888888889,"Illgau","Illgau","Illgau","SZ","SZ","SZ",61.111111111,61.111111111,61.111111111
"3","Muotathal","Muotathal","Muotathal","SZ",39.931153184,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",60.068846816,60.068846816,60.068846816
"4","Beinwil (SO)","Beinwil SO","Beinwil SO","SO",48.529411765,"Beinwil (SO)","Beinwil SO","Beinwil SO","SO","SO","SO",51.470588235,51.470588235,51.470588235
"5","Santa Maria in Calanca","Santa Maria in Calanca","Santa Maria in Calanca","GR",48.837209302,"Santa Maria in Calanca","Santa Maria in Calanca","Santa Maria in Calanca","GR","GR","GR",51.162790698,51.162790698,51.162790698
"6","Hasle (LU)","Hasle LU","Hasle LU","LU",50.491159136,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",49.508840864,49.508840864,49.508840864
"7","Steinerberg","Steinerberg","Steinerberg","SZ",50.579150579,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",49.420849421,49.420849421,49.420849421
"8","Alpthal","Alpthal","Alpthal","SZ",50.980392157,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",49.019607843,49.019607843,49.019607843
"9","Aranno","Aranno","Aranno","TI",51.818181818,"Aranno","Aranno","Aranno","TI","TI","TI",48.181818182,48.181818182,48.181818182
"10","Ogens","Ogens","Ogens","VD",52.777777778,"Ogens","Ogens","Ogens","VD","VD","VD",47.222222222,47.222222222,47.222222222
"11","Bosco/Gurin","Bosco/Gurin","Bosco/Gurin","TI",52.941176471,"Bosco/Gurin","Bosco/Gurin","Bosco/Gurin","TI","TI","TI",47.058823529,47.058823529,47.058823529
"12","Cama","Cama","Cama","GR",53.333333333,"Cama","Cama","Cama","GR","GR","GR",46.666666667,46.666666667,46.666666667
"13","Mauraz","Mauraz","Mauraz","VD",53.333333333,"Mauraz","Mauraz","Mauraz","VD","VD","VD",46.666666667,46.666666667,46.666666667
"14","Roggenburg","Roggenburg","Roggenburg","BL",53.521126761,"Roggenburg","Roggenburg","Roggenburg","BL","BL","BL",46.478873239,46.478873239,46.478873239
"15","Castaneda","Castaneda","Castaneda","GR",53.6,"Castaneda","Castaneda","Castaneda","GR","GR","GR",46.4,46.4,46.4
"16","Dozwil","Dozwil","Dozwil","TG",53.744493392,"Dozwil","Dozwil","Dozwil","TG","TG","TG",46.255506608,46.255506608,46.255506608
"17","Albinen","Albinen","Albinen","VS",53.75,"Albinen","Albinen","Albinen","VS","VS","VS",46.25,46.25,46.25
"18","Pollegio","Pollegio","Pollegio","TI",54,"Pollegio","Pollegio","Pollegio","TI","TI","TI",46,46,46
"19","Oberiberg","Oberiberg","Oberiberg","SZ",54.178674352,"Oberiberg","Oberiberg","Oberiberg","SZ","SZ","SZ",45.821325648,45.821325648,45.821325648
"20","Rongellen","Rongellen","Rongellen","GR",54.545454545,"Rongellen","Rongellen","Rongellen","GR","GR","GR",45.454545455,45.454545455,45.454545455
"21","Ufhusen","Ufhusen","Ufhusen","LU",55.405405405,"Ufhusen","Ufhusen","Ufhusen","LU","LU","LU",44.594594595,44.594594595,44.594594595
"22","Innerthal","Innerthal","Innerthal","SZ",56.060606061,"Innerthal","Innerthal","Innerthal","SZ","SZ","SZ",43.939393939,43.939393939,43.939393939
"23","Sommeri","Sommeri","Sommeri","TG",56.291390728,"Sommeri","Sommeri","Sommeri","TG","TG","TG",43.708609272,43.708609272,43.708609272
"24","Escholzmatt-Marbach","Escholzmatt-Marbach","Escholzmatt-Marbach","LU",56.375838926,"Escholzmatt-Marbach","Escholzmatt-Marbach","Escholzmatt-Marbach","LU","LU","LU",43.624161074,43.624161074,43.624161074
"25","Schmiedrued","Schmiedrued","Schmiedrued","AG",56.444444444,"Schmiedrued","Schmiedrued","Schmiedrued","AG","AG","AG",43.555555556,43.555555556,43.555555556
"26","Oltingen","Oltingen","Oltingen","BL",56.485355649,"Oltingen","Oltingen","Oltingen","BL","BL","BL",43.514644351,43.514644351,43.514644351
"27","Mandach","Mandach","Mandach","AG",56.52173913,"Mandach","Mandach","Mandach","AG","AG","AG",43.47826087,43.47826087,43.47826087
"28","Bedigliora","Bedigliora","Bedigliora","TI",56.571428571,"Bedigliora","Bedigliora","Bedigliora","TI","TI","TI",43.428571429,43.428571429,43.428571429
"29","Raperswilen","Raperswilen","Raperswilen","TG",56.603773585,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",43.396226415,43.396226415,43.396226415
"30","Luthern","Luthern","Luthern","LU",56.640625,"Luthern","Luthern","Luthern","LU","LU","LU",43.359375,43.359375,43.359375
"31","Roveredo (GR)","Roveredo GR","Roveredo GR","GR",56.772334294,"Roveredo (GR)","Roveredo GR","Roveredo GR","GR","GR","GR",43.227665706,43.227665706,43.227665706
"32","Centovalli","Centovalli","Centovalli","TI",56.996587031,"Centovalli","Centovalli","Centovalli","TI","TI","TI",43.003412969,43.003412969,43.003412969
"33","Werthenstein","Werthenstein","Werthenstein","LU",57.087378641,"Werthenstein","Werthenstein","Werthenstein","LU","LU","LU",42.912621359,42.912621359,42.912621359
"34","Rothenbrunnen","Rothenbrunnen","Rothenbrunnen","GR",57.142857143,"Rothenbrunnen","Rothenbrunnen","Rothenbrunnen","GR","GR","GR",42.857142857,42.857142857,42.857142857
"35","Fischbach","Fischbach","Fischbach","LU",57.396449704,"Fischbach","Fischbach","Fischbach","LU","LU","LU",42.603550296,42.603550296,42.603550296
"36","Entlebuch","Entlebuch","Entlebuch","LU",57.405140759,"Entlebuch","Entlebuch","Entlebuch","LU","LU","LU",42.594859241,42.594859241,42.594859241
"37","Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD",57.823129252,"Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD","VD","VD",42.176870748,42.176870748,42.176870748
"38","Muntogna da Schons","Muntogna da Schons","Muntogna da Schons","GR",57.857142857,"Muntogna da Schons","Muntogna da Schons","Muntogna da Schons","GR","GR","GR",42.142857143,42.142857143,42.142857143
"39","Zullwil","Zullwil","Zullwil","SO",58.156028369,"Zullwil","Zullwil","Zullwil","SO","SO","SO",41.843971631,41.843971631,41.843971631
"40","Cadenazzo","Cadenazzo","Cadenazzo","TI",58.411214953,"Cadenazzo","Cadenazzo","Cadenazzo","TI","TI","TI",41.588785047,41.588785047,41.588785047
"41","Randa","Randa","Randa","VS",58.415841584,"Randa","Randa","Randa","VS","VS","VS",41.584158416,41.584158416,41.584158416
"42","Hohentannen","Hohentannen","Hohentannen","TG",58.43373494,"Hohentannen","Hohentannen","Hohentannen","TG","TG","TG",41.56626506,41.56626506,41.56626506
"43","Morschach","Morschach","Morschach","SZ",58.529411765,"Morschach","Morschach","Morschach","SZ","SZ","SZ",41.470588235,41.470588235,41.470588235
"44","Brusio","Brusio","Brusio","GR",58.530805687,"Brusio","Brusio","Brusio","GR","GR","GR",41.469194313,41.469194313,41.469194313
"45","Doppleschwand","Doppleschwand","Doppleschwand","LU",58.943089431,"Doppleschwand","Doppleschwand","Doppleschwand","LU","LU","LU",41.056910569,41.056910569,41.056910569
"46","Bedretto","Bedretto","Bedretto","TI",58.974358974,"Bedretto","Bedretto","Bedretto","TI","TI","TI",41.025641026,41.025641026,41.025641026
"47","Baulmes","Baulmes","Baulmes","VD",58.983050847,"Baulmes","Baulmes","Baulmes","VD","VD","VD",41.016949153,41.016949153,41.016949153
"48","Champtauroz","Champtauroz","Champtauroz","VD",59.090909091,"Champtauroz","Champtauroz","Champtauroz","VD","VD","VD",40.909090909,40.909090909,40.909090909
"49","Fischenthal","Fischenthal","Fischenthal","ZH",59.206798867,"Fischenthal","Fischenthal","Fischenthal","ZH","ZH","ZH",40.793201133,40.793201133,40.793201133
"50","Schönholzerswilen","Schönholzerswilen","Schönholzerswilen","TG",59.390862944,"Schönholzerswilen","Schönholzerswilen","Schönholzerswilen","TG","TG","TG",40.609137056,40.609137056,40.609137056
